Accession,Body_of_Water,acro
Clypeaster_reticulatus,a,EIWP
Conolampas_sigsbei,h,WA
Dendraster_excentricus,e,NEP
Ech106_Clypeaster_virenscens,a,EIWP
Ech13_Peronella_lesueuri,a,EIWP
Ech14_Sculpsitechinus_auritus,a,EIWP
Ech18_Arachnoides_placenta,b,SANZ
Ech29_Sinaechinocyamus_mai,a,EIWP
Ech30_Astriclypeus_mannii,a,EIWP
Ech32_Clypeaster_japonica,c,NWP
Ech43_Laganum_fudsiyama,a,EIWP
Ech49_Echinodiscus_bisperforatus,d,WIO
Echinarachnius_parma,f,NWA
Echinocyamus_pusillus,i,NEA
Echinolampas_crassa,k,SAFR
Encope_aberrans,h,WA
Encope_grandis,g,EP
Lanthonia_longifissa,g,EP
Leodia_sexiesperforata,h,WA
Mellita_isometra,h,WA
Mellita_notabilis,g,EP
Mellitella_stokesii,g,EP
Peronella_japonica,c,NWP
Rhyncholampas_pacificus,g,EP
Scaphechinus_mirabilis,c,NWP